en	de	fr	ja	cn	ko	lineno
﻿'Look for Wave'	'Nach der Welle schauen'	'Repérez la vague'		'看浪'	'해일 위치 확인'	e3n.js line#41
'Get Middle'	'In die Mitte gehen'	'Allez au centre'		'中间'	'중앙으로'	e3n.js line#70
'Avoid Puddles and Dives'	'Flächen und Leviathan ausweichen'	'Evitez les flaques et les dives'		'躲圈闪避'	'돌진이랑 장판 피하세요'	e3n.js line#97
'Donut on YOU'	'Donut auf DIR'	'Donut sur VOUS'		'月环点名'	'나에게 도넛장판'	e3n.js line#151
﻿'Tank Cleaves, Move Front'	'Tank Cleaves, nach vorne bewegen'	'Tank cleave, allez devant'	'拡散くるよ'	'坦克放陨石，向前集合'	'탱버, 앞으로 이동'	e3s.js line#31
'Flare on YOU'	'Flare auf DIR'	'Brasier sur VOUS'	'自分にフレア'	'核爆点名'	'플레어 대상자'	e3s.js line#170
'Stack, Bait Puddles'	'Sammeln, Flächen ködern'	'Packé, évitez zone au sol'	'集合'	'集合'	'모이기'	e3s.js line#187
'Drop Puddles Outside'	'Flächen drausen ablegen'	'Placez les flaques à l\'extérieur'	'散開'	'散开'	'산개'	e3s.js line#205
'Stack, Bait Puddles'	'Sammeln, Flächen ködern'	'Packé, évitez zone au sol'	'集合'	'集合'	'모이기'	e3s.js line#222
'Panto Puddles x5'	'Panto Flächen x5'	'Panto x5'	'パント5回'	'处理水圈 x5'	'발밑장판 5회'	e3s.js line#269
'Puddle Tether on YOU'	'Black Smoker Verbindung auf DIR'	'Lien sur VOUS'	'線ついた'	'水圈连线'	'나에게 선연결'	e3s.js line#289
'Pop alternating bubbles'	'Flächen abwechselnd nehmen'	'Absorbez les bulles en alternance'	'水出た'	'交替踩圈'	'물장판 밟기'	e3s.js line#322
'Initial knockback on YOU'	'Initialer Knockback auf DIR'	'Pousée initiale sur VOUS'	'最初のノックバック'	'初始击退点名'	'첫 넉백 대상자'	e3s.js line#342
'Defamation'	'Defamation'	'Médisance'	'暴風'	'暴风'	'폭풍 대상자'	e3s.js line#413
'Avoid Knockback, Move to Back'	'Vermeide Knockback, dann nach hinten bewegen'	'Evitez la pousée, allez à l\'arrière'	'後ろへ'	'后方放大圈'	'넉백 피해서 뒤로 이동'	e3s.js line#434
'Move In, Avoid Defamation'	'Rein gehen, vermeide Defamation'	'Sous le boss, évitez la médisance'	'前にノックバック'	'靠近躲避'	'안으로 이동, 폭풍 피하기'	e3s.js line#475
'Tank Cone'	'Tank Kegel'	'Cône tank'	'断絶'	'坦克三角'	'확산의 징조 대상자'	e3s.js line#495
'Tank Cone'	'Tank Kegel'	'Cône tank'	'断絶'	'坦克三角'	'확산: 탱 멀리 / 대상자 앞으로'	e3s.js line#517
'Front left / Back right'	'Vorne Links / Hinten Rechts'	'Avant gauche / Arrière droite'	'左前 / 右後ろ'	'前左 / 后右'	'↖ 앞 왼쪽 / 뒤 오른쪽 ↘'	e3s.js line#546
'Front right / Back left'	'Vorne Rechts / Hinten Links'	'Avant droit / Arrière gauche'	'右前 / 左後ろ'	'前右 / 后左'	'↗ 앞 오른쪽 / 뒤 왼쪽 ↙'	e3s.js line#563
'Front left / Back right'	'Vorne Links / Hinten Rechts'	'Avant gauche / Arrière droite'	'左前 / 右後ろ'	'前左 / 后右'	'↖ 앞 왼쪽 / 뒤 오른쪽 ↘'	e3s.js line#588
'Front right / Back left'	'Vorne Rechts / Hinten Links'	'Avant droit / Arrière gauche'	'右前 / 左後ろ'	'前右 / 后左'	'↗ 앞 오른쪽 / 뒤 왼쪽 ↙'	e3s.js line#609
﻿'aoe + dot'	'AoE + DoT'	'Dégâts de zone + dot'		'AOE + dot'	'전체공격 + 도트뎀'	e4n.js line#35
'Stand In Front'	'Vor ihm stehen'	'Se placer devant'		'面前躲避'	'정면이 안전'	e4n.js line#64
'Stand On Flank'	'Auf seiner Flanke stehen'	'Se placer sur le flanc'		'两侧躲避'	'넓은쪽 옆면이 안전'	e4n.js line#108
﻿'Tank Busters'	'Tank buster'	'Tank busters'	'タンクバスター'	'坦克死刑'	'탱버'	e4s.js line#18
'Look for Evil Earth Marker'	'Schau nach den Grimm der Erde Marker'	'Repérez une marque de Terre maléfique'	'範囲見て'	'观察地板'	'사악한 대지 패턴 확인'	e4s.js line#87
'Landslide: In Front'	'Armberge: Vor ihm'	'Devant'	'ランスラ: 正面へ'	'面前躲避'	'완갑: 정면'	e4s.js line#135
'Back Corners'	'Hintere Ecken'	'Coins arrière'	'ランスラくるよ'	'后方角落'	'뒤쪽 구석으로'	e4s.js line#162
'Bomb on YOU'	'Bombe auf DIR'	'Bombe sur VOUS'	'マーカーついた'	'炸弹点名'	'거리감쇠 징 대상자'	e4s.js line#177
'Wheels: On Sides'	'Räder: Zur Seite'	'Roues : Sur les côtés'	'車輪: 横へ'	'车轮：两侧'	'바퀴: 옆으로'	e4s.js line#264
'Tank Charge'	'Tank wird angefahren'	'Charge tank'	'タンクに突進'	'坦克冲锋'	'탱커를 향해 돌진'	e4s.js line#281
'Left, Then Right'	'Links, dann Rechts'	'Gauche puis droite'	'左 => 右'	'左 => 右'	'왼쪽 => 오른쪽'	e4s.js line#321
'Right, Then Left'	'Rechts, dann Links'	'Droite puis gauche'	'右 => 左'	'右 => 左'	'오른쪽 => 왼쪽'	e4s.js line#338
'Left, Stay Left'	'Links, Links bleiben'	'Gauche puis restez'	'ずっと左'	'一直在左'	'왼쪽 => 왼쪽'	e4s.js line#355
'Right, Stay Right'	'Rechts, Rechts bleiben'	'Droite puis restez'	'ずっと右'	'一直在右'	'오른쪽 => 오른쪽'	e4s.js line#372
'Gaol on YOU'	'Gefängnis auf DIR'	'Geôle sur VOUS'	'自分にジェイル'	'石牢点名'	'화강암 감옥 대상'	e4s.js line#439
'GET OFF FRONT RIGHT'	'VON VORNE RECHTS RUNTER'	'PARTEZ DE L\'AVANT DROITE'	'右前壊れるよ'	'破坏右前'	'앞 오른쪽 피하기'	e4s.js line#462
'GET OFF BACK RIGHT'	'VON HINTEN RECHTS RUNTER'	'PARTEZ DE L\'ARRIERE DROITE'	'右後ろ壊れるよ'	'破坏右后'	'뒤 오른쪽 피하기'	e4s.js line#479
'GET OFF BACK LEFT'	'VON HINTEN LINKS RUNTER'	'PARTEZ DE L\'ARRIERE GAUCHE'	'左後ろ壊れるよ'	'破坏左后'	'뒤 왼쪽 피하기'	e4s.js line#496
'GET OFF FRONT LEFT'	'VON VORNE LINKS RUNTER'	'PARTEZ DE L\'AVANT GAUCHE'	'左前壊れるよ'	'破坏左前'	'앞 왼쪽 피하기'	e4s.js line#513
﻿'Look for small spear'	'Halt nach kleinem Speer ausschau'	'Allez sur la petite lance'		'寻找小棒'	'작은 지팡이 확인'	e5n.js line#52
'Look for adds'	'Halt nach dem Add ausschau'	'Cherchez les adds'		'寻找小怪'	'쫄 위치 확인'	e5n.js line#67
'Fury\'s Bolt'	'Wütender Blitz'	'Boule de foudre'		'强化'	'라무 강화'	e5n.js line#82
'Grab an orb'	'Einen Orb nehmen'	'Prenez un orbe'		'吃雷球'	'구슬 줍기'	e5n.js line#111
'Drop cloud outside'	'Wolken draußen ablegen'	'Placez le nuage à l\'extérieur'		'将雷云放在外面'	'바깥으로 구름 유도'	e5n.js line#122
﻿'Position for Stormcloud'	'Position für die Wolke'	'Position pour les nuages'		'雷云站位'	'번개 구름 위치 잡기'	e5s.js line#256
'Be in your position'	'Befinde dich auf deiner Position!'	'Soyez en place'		'冲锋站位'	'자기 위치에 있기'	e5s.js line#272
'Ready for Chain'	'Bereit für Kettenblitz'	'Préparez-vous pour la chaine'		'闪电链'	'번개 돌려막기 준비'	e5s.js line#288
﻿'Avoid green nails'		'Evitez les clous'		'躲避风牙'	'초록 발톱 피하기'	e6n.js line#29
'Tether Marker on YOU'	'Verbindung auf DIR'	'Marque de lien sur VOUS'		'连线点名'	'징 대상자'	e6n.js line#120
'Move to Ifrit'		'Allez sur Ifrit'		'踢球 集合待机'	'이프리트로 이동'	e6n.js line#135
﻿'Attack Garuda'	'Greife Garuda an'	'Attaquez Garuda'		'打风神'	'가루다 공격하기'	e6s.js line#179
'Attack Ifrit'	'Greife Ifrit an'	'Attaquez Ifrit'		'打火神'	'이프리트 공격하기'	e6s.js line#194
'go to spots for chains'	'Gehe zu den Stellen für die Kette'	'Positions pour les chaines'		'连线站位'	'콘플레그 준비'	e6s.js line#234
﻿'Teleporting Left'		'Téléportation à gauche'		'向左传送'	'왼쪽으로 순간이동'	e7n.js line#33
'Teleporting Right'		'Téléportation à droite'		'向右传送'	'오른쪽으로 순간이동'	e7n.js line#44
'Teleporting Forward'	'Teleportation Vorwärts'	'Téléportation devant'		'向前传送'	'앞으로 순간이동'	e7n.js line#57
'Teleporting Back'	'Teleportation Rückwärts'	'Téléportation derrière'		'向后传送'	'뒤로 순간이동'	e7n.js line#72
'Teleport into donut'		'Téléportez vous dans le donut'		'传送到圈里'	'도넛 장판 안으로 순간이동하기'	e7n.js line#84
﻿'Dark NE, Light NW, one pair S'	'Dunkel NO, Licht NW, ein Paar S'	'Noir NE, Blanc NO, une paire S'		'黑右前 白左前 两人后'	'어둠 북동, 빛 북서, 한쌍은 남으로'	e7s.js line#15
'Get under vertical add'	'Unter das vertikale Add gehen'	'Allez sous l\'add vertical'		'去垂直小怪脚下'	'똑바로 서 있는 쫄 아래로'	e7s.js line#317
'Bait Puddles'	'Flächen ködern'	'Placez les flaques'		'放圈'	'장판 버리기'	e7s.js line#441
'Get Knocked Into Corner'	'Lass dich in die Ecke zurückstoßen'	'Faites vous pousser dans les coins'		'击退到角落'	'구석으로 넉백'	e7s.js line#456
﻿'Go Front / Sides'	'Gehe nach Forne/ zu den Seiten'			'去前面/两边'	'앞 / 양옆으로'	e8n.js line#54
'Get behind, then South'				'去后面 => 南边'	'보스 뒤로 => 남쪽으로'	e8n.js line#94
'Go Front / Sides, then North'				'去前面/两边=> 北边'	'앞/양옆으로 => 북쪽으로'	e8n.js line#110
'Close to mirrors'				'靠近镜子'	'거울 밑으로'	e8n.js line#135
'3x puddles on you'				'3个冰圈'	'따라오는 장판 피하기'	e8n.js line#194
'Back Then Front'	'Nach Hinten, danach nach Forne'	'Derrière puis devant'		'后面=> 前面'	'뒤로 => 앞으로'	e8n.js line#275
'Front Then Back'	'Nach Forne, danach nach Hinten'	'Devant puis derrière'		'前面=> 后面'	'앞으로 => 뒤로'	e8n.js line#290
﻿'Cleanse'	'Reinigen'	'Guérison'		'驱散'	'에스나'	e8s.js line#206
'Chain on YOU'	'Kette auf DIR'	'Chaine sur VOUS'		'连线'	'사슬 대상자'	e8s.js line#264
'Orb on YOU'	'Orb auf DIR'	'Orbe sur VOUS'		'拉球'	'구슬 대상자'	e8s.js line#276
'Cleanse DPS Only'	'Nur DPS reinigen'	'Guérissez les DPS seulement'		'驱散DPS'	'딜러만 에스나'	e8s.js line#566
'Tank Stack in Tower'		'Tank packé dans les tours'		'坦克塔内分摊'		e8s.js line#583
'Tank Spread in Tower'		'Tank écarté dans les tours'		'坦克塔内分散'		e8s.js line#598
﻿'Comet Towers'	'Türme'	'Tours'	'コメットを処理'	'踩塔'	'혜성 기둥'	hades-ex.js line#23
'Then Right'	'Dann Rechts'	'Droite'	'そして右へ'	'然后右'	'다음 오른쪽'	hades-ex.js line#94
'Then Left'	'Dann Links'	'Gauche'	'そして左へ'	'然后左'	'다음 왼쪽'	hades-ex.js line#122
'Go to Safe Spot'	'Geh zur sicheren Stelle'	'Allez dans la zone sûre'	'安全の場所へ移動'	'前往安全区域'	'안전 지대로 이동'	hades-ex.js line#140
'Hide Behind Door'	'Hinter der Tür verstecken'	'Cachez-vous derrière le mirroir'	'鏡の後ろに'	'镜子后躲避'	'문 뒤에 숨기'	hades-ex.js line#158
'Point Tether Out'	'Verbindung nach draußen richten'	'Liens vers l\'extérieur'	'線を外に引く'	'连线'	'선 연결 바깥으로 빼기'	hades-ex.js line#191
'Healer Stacks'	'Bei dem Heiler sammeln'	'Package sur les heals'	'ヒーラーに集合'	'治疗集合'	'힐러 모이기'	hades-ex.js line#206
'Tank Spread'	'Tanks verteilen'	'Tanks : dispersion'	'タンクは外に'	'坦克散开'	'탱 산개'	hades-ex.js line#224
'Move Shades Apart'	'Schatten auseinander ziehen'	'Ecartez les spectres'	'アシエンを引き離す'	'拉开无影'	'분신 서로 떨어뜨리기'	hades-ex.js line#265
'Attack Igeyorhm'	'Igeyorhm angreifen'	'Attaquez Igeyorhm'	'イゲオルムを攻撃'	'攻击以格约姆'	'Igeyorhm 공격'	hades-ex.js line#322
'Attack Lahabrea'	'Lahabrea angreifen'	'Attaquez Lahabrea'	'ラハブレアを攻撃'	'攻击拉哈布雷亚'	'라하브레아 공격'	hades-ex.js line#344
'Heal T/H to Full'	'Heile T/H voll'	'T/H full vie'	'タンク／ヒーラーを満タンさせ'	'奶满T奶'	'탱/힐 풀피로 만들기'	hades-ex.js line#412
'Get Killed'	'Stirb'	'Mourrez'	'自殺'	'自杀'	'죽을 정도로 맞기'	hades-ex.js line#447
'Stay Out'	'Draußen stehen'	'Restez éloigné'	'ライトニングを外に安置'	'外侧放雷'	'바깥에 있기'	hades-ex.js line#492
'aoe + bleed'	'AoE + Blutung'	'Dégâts de zone + saignement'	'AoE + DoT'	'AOE + 流血'	'전체 공격 + 출혈'	hades-ex.js line#512
'Healer Stacks'	'Bei den Heilern sammeln'	'Package sur les heals'	'ヒーラーに集合'	'治疗集合'	'힐러 모이기'	hades-ex.js line#566
'Break Aetherial Gaol'	'Zerstöre Ätherkerker'	'Détruisez la Geôle éthérée'	'エーテリアル・ジェイルを打ち破す'	'打破牢狱'	'에테르 감옥 부수기'	hades-ex.js line#603
'Knockback + Stack on YOU'	'Rückstoß + sammeln beim DIR'	'Poussée + package sur VOUS'	'ノックバック + 頭割り'	'击退 + 集合 点名'	'넉백 + 쉐어징 대상자'	hades-ex.js line#618
'Knockback + Ice on YOU'	'Rückstoß + Eis auf DIR'	'Poussée + Glace sur VOUS'	'ノックバック + 氷'	'击退 + 冰 点名'	'넉백 + 얼음징 대상자'	hades-ex.js line#636
'Puddles on YOU'	'Fläsche auf YOU'	'Puddle sur VOUS'	'AoEを外に捨て'	'水圈点名'	'징 대상자'	hades-ex.js line#675
'Healer Stacks'	'Bei dem Heiler sammeln'	'Package sur les heals'	'ヒーラーに集合'	'治疗集合'	'힐러 모이기'	hades-ex.js line#698
'Exoflares'	'Exa-Flares'	'Exaflares'	'ダークストリーム'	'地火'	'엑소플레어'	hades-ex.js line#744
'aoe + bleed'	'AoE + Blutung'	'Dégâts de zone + saignement'	'AoE + DoT'	'AOE + 流血'	'전체 공격 + 출혈'	hades-ex.js line#829
'Enrage'	'Finalangriff'	'Enrage'	'時間切れ'	'狂暴'	'전멸기'	hades-ex.js line#846
﻿'Dodge Giant Circles'	'Weiche dem großen Kreis aus'	'Evitez les cercles géants'		'躲避大圈'	'대형장판피하기'	hades.js line#91
'Cleanse Doom In Circle'	'Entferne Verhängnis mit den Kreisen'	'Dispell le Glas'		'踩光圈'	'모든 장판을 밟으세요'	hades.js line#163
'Right Knockback'	'Rechter Knockback'	'Poussée à droite'		'右侧击退'	'오른쪽 넉백'	hades.js line#179
'Left Knockback'	'Linker Knockback'	'Poussée à gauche'		'左侧击退'	'왼쪽 넉백'	hades.js line#195
'Tank Buster Spread'	'Tank Buster verteilen'	'Tankbuster, séparez-vous'		'坦克死刑分散'	'탱버 산개'	hades.js line#229
'Drop Marker Outside'	'Marker außen ablegen'	'Posez la marque à l\'extérieur'		'外侧放点名'	'외곽으로'	hades.js line#243
'Fetters on YOU'	'Fessel auf DIR'			'锁链点名'	'선대상자 -> YOU'	hades.js line#257
'Kill Jail'	'Gefängniss zerstören'	'Dégommez la prison'		'攻击牢狱'	'감옥'	hades.js line#273
'Spread (Don\'t Stack!)'	'Verteilen (Ohne stacken)'	'Dispersez-vous (non packé)'		'分散（不要重合!）'	'산개（모이지마세요!）'	hades.js line#295
﻿'Swords!'	'Schwerter!'	'Epées !'	'剣くるよ'	'剑!'	'검 돌아옴!'	innocence-ex.js line#36
