en	de	fr	ja	cn	ko	lineno
'swipe'	'Hieb'	'Fauche'		'去目标背后'		fractal_continuum_hard.js line#32
'Swing'	'Schwung'	'Swing'		'远离目标'		fractal_continuum_hard.js line#46
'Swing'	'Schwung'	'Swing'		'远离目标'		fractal_continuum_hard.js line#60
'Dragon\'s Voice'	'Stimme Des Drachen'	'Voix Du Dragon'		'靠近奇美拉'		fractal_continuum_hard.js line#74
'Ram\'s Voice'	'Stimme Des Widders'	'Voix Du Bélier'		'远离奇美拉'		fractal_continuum_hard.js line#93
'Stand in blue'	'Im Blauen stehen'	'Allez dans le bleu'		'站在蓝色区域'		temple_of_the_fist.js line#73
'Stand in red'	'Im Roten stehen'	'Allez dans le rouge'		'站在红色区域'		temple_of_the_fist.js line#85
'watch for safe'	'nach sicherer Position schauen'	'trouvez une zone safe'		'前往安全区'		temple_of_the_fist.js line#119
'Avoid floating heads'	'Weiche den fliegenden Köpfen aus'	'Evitez les têtes'		'避开漂浮的头'		temple_of_the_fist.js line#164
'Away from marker'	'Weg von den Markierungen'	'Loin de la marque'		'远离标记'		temple_of_the_fist.js line#178
'Swipe'	'Hieb'	'Fauche'		'横扫'		eureka_anemos.js line#49
'Eye Donut'	'Augendonut'	'Donut œil'		'月环'		eureka_anemos.js line#74
'Glower Laser'	'Blick Laser'	'Regard Laser'		'怒视'		eureka_anemos.js line#89
'Ice ball on you!'	'Eisball auf dir!'	'Boule de glace sur vous!'		'点名冰球！'		eureka_anemos.js line#127
'Plague Donut'	'Plagen-Donut'	'Donut Nuée'		'月环'		eureka_anemos.js line#181
'WAKE UP'	'AUFWACHEN'	'REVEILLES TOI'		'醒醒！动一动！！'		eureka_anemos.js line#232
'Shields and Mitigation'	'Schilde und Abschwächungen'			'切盾减伤'		eureka_hydatos.js line#25
'Pop Eurekan Potions'	'Eureka-Heiltränke benutzen'			'磕优雷卡回复药'		eureka_hydatos.js line#38
'Black Hole Soon'	'Schwarzes Loch'			'黑洞警告'		eureka_hydatos.js line#50
'Under Spears'	'Unter einen Speer'			'枪脚下'		eureka_hydatos.js line#244
'Get to Ice'	'Geh zum Eis'			'冰'		eureka_hydatos.js line#287
'Switch Magia'	'Magia-Brett drehen'			'切换元素板'		eureka_hydatos.js line#292
'Get to Fire'	'Geh zum Feuer'			'火'		eureka_hydatos.js line#306
'Switch Magia'	'Magia-Brett drehen'			'切换元素板'		eureka_hydatos.js line#311
'Dark Bracelets'	'Dunkle Armreife'			'黑光环'		eureka_hydatos.js line#466
'Light Bracelets'	'Helle Armreife'			'白光环'		eureka_hydatos.js line#486
'Orbs to Opposite Colors'	'Kugeln zu umgekehrter Farbe'			'连线去相反颜色'		eureka_hydatos.js line#628
'Off the Platform'	'Weg von der Fläche'			'远离平台'		eureka_hydatos.js line#693
'Spread for Bleed'	'Blutung verteilen'			'分散'		eureka_hydatos.js line#711
'Go Far'	'Weit weg'			'远离'		eureka_hydatos.js line#728
'Get Close'	'Nah dran'			'靠近'		eureka_hydatos.js line#774
'Get Off'	'Weg da'			'远离平台'		eureka_hydatos.js line#825
'Get Close'	'Nah dran'			'靠近'		eureka_hydatos.js line#843
'Go Far'	'Weit weg'			'远离'		eureka_hydatos.js line#861
'Next Spin: In or Out'	'Nächste Drehung: Rein oder raus'	'Tour suivant : Dedans/Dehors'		'下一转:内圈/外圈'		o10n.js line#36
'Next Spin: Corners'	'Nächste Drehung: Ecken'	'Tour suivant : Plus'		'下一转:角落'		o10n.js line#53
'Death From Below'	'Tod von unten'	'Désastre terrestre'		'地之灾厄'	'디버프 확인'	o10s.js line#55
'Death From Above'	'Tod von oben'	'Désastre Céleste'		'天之灾厄'	'디버프 확인'	o10s.js line#69
'Next Spin: Cardinals or Corners'	'Nächste Drehung: Kanten oder Ecken'	'Tour suivant : Cardinaux ou Coins'	'角かマーカー'	'下一转：靠边火角落'	'십자 / 대각선'	o10s.js line#125
'Tank Tether'				'坦克接线远离人群'		o11n.js line#18
'Left (then opposite)'	'Links (dann umgekehrt)'	'Gauche (puis Droite)'	'左 (零式)'	'左 (零式)'	'왼쪽으로 (바로 반대로)'	o11s.js line#147
'Right (then opposite)'	'Rechts (dann umgekehrt)'	'Droite (puis Gauche)'	'右 (零式)'	'右 (零式)'	'오른쪽으로 (바로 반대로)'	o11s.js line#164
'Opposite (Left)'	'Umgekehrt (Links)'	'Côté opposé (Gauche)'	'反対へ (左)'	'对面 (左)'	'오른쪽으로'	o11s.js line#182
'Opposite (Right)'	'Umgekehrt (Rechts)'	'Côté opposé (Droite)'	'反対へ (右)'	'对面 (右)'	'왼쪽으로'	o11s.js line#200
'Knockback'	'Rückstoß'	'Poussée'		'击退'		o12n.js line#15
'Move bosses apart'	'Bosse auseinander ziehen'	'Ecartez les boss'		'分开boss'		o12n.js line#62
'Attack Omega-M'	'Omega-M angreifen'	'Attaquez Oméga-M'		'攻击男性'		o12n.js line#109
'Attack Omega-F'	'Omega-W angreifen'	'Attaquez Oméga-F'		'攻击女性'		o12n.js line#126
'Don\'t Stack!'	'Nicht stacken!'	'Ne vous packez pas !'	'スタックするな！'	'分散站位！'	'쉐어 맞지 말것'	o12s.js line#42
'Keep Bosses Apart'	'Bosse auseinander ziehen'	'Séparez les boss'	'ボス離して'	'拉开Boss'	'보스 떨어뜨리기'	o12s.js line#59
'Move Bosses Together'	'Bosse zusammenziehen'	'Packez les boss'	'ボス重ねて'	'拉近Boss'	'보스 붙이기'	o12s.js line#76
'Close Tethers'	'Nahe Verbindungen'	'Liens proches'	'ニアー'	'靠近连线'	'가까이 붙는 줄'	o12s.js line#315
'Far Tethers'	'Entfernte Verbindungen'	'Liens éloignés'	'ファー'	'远离连线'	'멀리 떨어지는 줄'	o12s.js line#335
'Defamation on YOU'	'Urteil auf DIR'	'#Médisance sur VOUS'	'サークルついた'	'严重错误：上溢'	'치명적오류:광역 8초'	o12s.js line#355
'Blue Marker'	'Blauer Marker'	'Marqueur bleu'	'レイテントついた'	'蓝点名'	'잠재적오류 10초'	o12s.js line#375
'Rot'	'Fäulnis'	'Pourriture'	'デグレードついた'	'红点名'	'치명적오류:전이 14초'	o12s.js line#395
'Move out for Defamation'	'Rausgehen für Urteil'	'Ecartez-vous pour #médisance'	'サークル捨てる'	'离开人群传毒'	'잠재적 오류: 전이'	o12s.js line#502
'Back Left'	'Hinten Links'	'Arrière gauche'	'左後ろ'	'左后'	'좌측 후방'	o12s.js line#569
'Back Right'	'Hinten Rechts'	'Arrière droite'	'右後ろ'	'右后'	'우측 후방'	o12s.js line#586
'Breath Wing: Be beside boss'	'Atemschwinge: Neben Boss gehen'			'站boss附近'		o1n.js line#39
'DPS: Levitate'	'DDs hoch'			'DPS浮空'		o2s.js line#15
'-100 Gs: Go north/south and look away'	'-100G: Nach Norden/Süden und wegschauen'			'前往南边\北边并背对boss'		o2s.js line#74
'Unstable Gravity: Elevate and outside stack'	'Schwerkraftschwankung: Schweben und außen stacken'			'升起并分摊'		o2s.js line#229
'Mindjack: Right'	'Geistlenkung: Rechts'			'右'		o3s.js line#198
'Mindjack: Forward'	'Geistlenkung: Vorwärts'			'前'		o3s.js line#215
'Mindjack: Left'	'Geistlenkung: Links'			'左'		o3s.js line#232
'Mindjack: Back'	'Geistlenkung: Zurück'			'后'		o3s.js line#249
'The Queen\'s Waltz: Books'	'Tanz der Königin: Bücher'			'中间两排分格站位'		o3s.js line#297
'The Queen\'s Waltz: Clock'	'Tanz der Königin: Uhr'			'万变水波站位'		o3s.js line#314
'The Queen\'s Waltz: Crystal Square'	'Tanz der Königin: Kristallfeld'			'站在蓝地板'		o3s.js line#331
'The Queen\'s Waltz: Tethers'	'Tanz der Königin: Ranken'			'先集中后扯线'		o3s.js line#348
'Cleanse Doom soon'	'Reinige Verhängnis bald'			'驱散死宣'		o4n.js line#24
'Move around'	'Bewegen'			'不停移动'		o4n.js line#57
'Stand in the gap'	'In der Lücke stehen'			'远离中间位置'		o4n.js line#91
'Behind head--Avoid zombie breath'	'Hinter den Kopf - Vermeide den Zombie-Atem'			'站头后方'		o4n.js line#105
'Avoid black holes'	'Weiche den Schwarzen Löchern aus'			'远离黑洞'		o4n.js line#118
'Flare on YOU'	'Flare auf DIR'			'核爆点名'		o4n.js line#139
'Vacuum Wave soon'	'Vakuumwelle bald'			'马上真空波'		o4s.js line#15
'Fire III'	'Feuga'			'静止'		o4s.js line#45
'Blizzard III'	'Eisga'			'蛇皮走位'		o4s.js line#59
'Grand Cross Alpha: Go to middle'	'Supernova Alpha: In die Mitte'			'前往中间集合'		o4s.js line#643
'Acceleration Bomb'	'Beschleunigungsbombe'			'加速度炸弹'		o4s.js line#759
'shriek: get mid, look away'	'Schrei: Zur mitte und wegschauen'			'石化点名'		o4s.js line#782
'Beyond Death'	'Jenseis Des Jenseits'			'超越死亡'		o4s.js line#879
'Almagest'	'Almagest'			'大AOE'		o4s.js line#953
'Light'	'Licht'	'Lumière'		'光点名'		o5n.js line#61
'Wind'	'Wind'	'Vent'		'圆圈点名'		o5n.js line#73
'Drop AOEs Away'	'AoEs weglocken'	'Posez les AoE au loin'		'远离放置AOE'		o6n.js line#27
'Hallowed Wind Stack'	'Heiliger Boden Wind'	'Packez vous dans le vent'	'隅でスタック'	'风分摊'	'쉐어징 천무'	o6s.js line#36
'Last Kiss on YOU'	'Letzter Kuss auf DIR'	'Baiser fatal sur VOUS'	'口づけ on YOU'	'死亡之吻点'	'죽음의 입맞춤 → 나'	o6s.js line#72
'Last Kiss on YOU'	'Letzter Kuss auf DIR'	'Baiser fatal sur VOUS'	'口づけ on YOU'	'死亡之吻点'	'죽음의 입맞춤 → 나'	o6s.js line#100
'Magitek Ray'	'Magitek-Laser'	'Rayon Magitek'		'直线AOE'		o7n.js line#19
'Orb Marker'	'Orb Marker'	'Orbe'	'マーカー'	'死刑点名'	'원자 파동 징'	o7s.js line#133
'Abandonment: stay middle'	'Verlassen: Bleib mittig'	'Isolement : restez au milieu'	'孤独: 内側へ'	'呆在中间'	'고독감: 중앙에 있기'	o7s.js line#214
'Look At Statue'	'Statue anschauen'	'Regardez la statue'		'面对神像'		o8n.js line#84
'Look Away From Statue'	'Von Statue wegschauen'	'Ne regardez pas la statue'		'背对神像'		o8n.js line#103
'fire on YOU'	'Feuer auf DIR'	'Feu sur VOUS'		'分散'		o8n.js line#130
'True Thunder'	'Wahrer Blitz'	'Vraie foudre'		'离开直线'		o8n.js line#155
'Fake Thunder'	'Falscher Blitz'	'Fausse foudre'		'进入直线'		o8n.js line#175
'Fake Ice: Get out'	'Falsches Eis: Rausgehen'	'Fausse glace : Sortez'		'进入紫圈'		o8n.js line#195
'True Ice: Get in'	'Wahre Eis: Reingehen'	'Vraie glace: Rentrez dedans'		'离开紫圈'		o8n.js line#215
'Fake Ice: Get in'	'Falsches Eis: Reingehen'	'Fausse glace: Rentrez dedans'		'进入紫圈'		o8n.js line#235
'True Ice: Get out'	'Wahres Eis: Rausgehen'	'Vraie glace: Sortez'		'离开紫圈'		o8n.js line#255
'Past: Stack and Stay'	'Vergangenheit: Sammeln und Stehenbleiben'	'Passé : Stack et ne bougez plus'	'過去: スタックしてそのまま'	'分摊不动'	'과거: 맞고 가만히있기'	o8s.js line#101
'Future: Stack and Through'	'Zukunft: Sammeln und Durchlaufen'	'Futur : Stack et traversez'	'未来: シェア後ボス通り抜ける'	'分摊穿boss'	'미래: 맞고 통과해가기'	o8s.js line#124
'Past: Bait, then through'	'Vergangenheit : Anlocken und Durchlaufen'	'Passé : appâtez puis traversez'	'過去: 飛んできたら反対向ける'	'诱导然后穿boss'	'과거: 맞고, 이동'	o8s.js line#151
'Future: Bait, then stay'	'Zukunft: Anlocken und Stehenbleiben'	'Futur : appâtez et ne bougez plus'	'未来: 飛んできたらそのまま'	'诱导然后不动'	'미래: 맞고, 가만히'	o8s.js line#178
'Single Wing'	'Einzelner Flügel'	'Aile unique'	'片翼'	'单翅膀'	'한쪽 날개'	o8s.js line#263
'Confusion: Go Outside'	'Konfusion: Nach außen'	'Confusion : Aller à l\'extérieur'	'混乱: 外へ'	'去外面'	'혼란: 바깥으로'	o8s.js line#375
'Sleep: Go Inside'	'Schlaf: Zur Mitte'	'Sommeil : allez au centre'	'睡眠: 中へ'	'去里面'	'수면: 안으로'	o8s.js line#401
'Orb Tethers'	'Kugel-Verbindungen'	'Attrapez les orbes'		'连线'		o9n.js line#32
'Hide Middle'	'Zur Mitte'	'Allez au centre'	'中央へ'	'中间躲避'	'중앙으로 모이기'	o9s.js line#263
'Hide Middle'	'Zur Mitte'	'Allez au centre'	'中央へ'	'中间躲避'	'중앙으로 모이기'	o9s.js line#285
'Stack Donut'	'Sammeln Donut'	'Packez-vous'	'スタック'	'集合放月环'	'도넛 쉐어'	o9s.js line#322
'Stack Donut'	'Sammeln Donut'	'Packez-vous'	'スタック'	'集合放月环'	'도넛 쉐어'	o9s.js line#345
'Stack Donut'	'Sammeln Donut'	'Packez-vous'	'スタック'	'集合放月环'	'도넛 쉐어'	o9s.js line#368
'Die on next mechanic'	'An nächster Mechanik tödlichen Schaden nehmen'	'Mourrez sur la prochaine mécanique'	'次のギミックで死んでね'	'想办法找死'	'다음 기믹에 맞기 (디버프)'	o9s.js line#539
'Stack with partner'	'Stacks verteilen'	'Packez-vous en binôme'		'与伙伴重合'	'파트너랑 모이기'	o9s.js line#571
'Hit DPS with Water'	'töte deinen DPS'	'Tuez les DPS'	'水当てて'	'水环害死DPS'	'딜러 물 맞기'	o9s.js line#638
'Distant Clap'	'Donnergrollen'	'Tonnerre Lointain'	'遠雷'	'远雷'		byakko-ex.js line#62
'Provoke Boss'	'Boss abspotten'	'Provoquez !'	'挑発'	'挑衅'		byakko-ex.js line#88
'Provoke Boss'	'Boss abspotten'	'Provoquez !'	'挑発'	'挑衅'		byakko-ex.js line#115
'Drop bubble outside'	'Blase außen ablegen'	'Déposez à l\'extérieur'	'外にマーカーを置く'	'边缘放点名'		byakko-ex.js line#173
'Pink bubble'	'Pinke Blase'	'Bulle violette'	'祟り目'	'泡泡'		byakko-ex.js line#199
'Puddles on YOU'	'Pfützen auf DIR'	'Mare sur VOUS'	'自分に床範囲'	'点名'		byakko-ex.js line#220
'Get away'	'Weg da'	'Eloignez-vous'	'離れる'	'远离'		byakko-ex.js line#241
'Vrill + Knockback'	'Vril + Rückstoß'			'完全拒绝'		lakshmi-ex.js line#80
'Vrill + Be Outside'	'Vril + Außen'			'完全吸引'		lakshmi-ex.js line#93
'Vrill + Pair Up'	'Vril + Pärchen bilden'			完全惑乱		lakshmi-ex.js line#110
'Mangle'	'Biss und Schweifhieb'			'去侧面'	'으깨기'	rathalos-ex.js line#21
'Rush'	'Stürmen'			'龙车'	'돌진'	rathalos-ex.js line#35
'Flaming Recoil'	'Flammenschlag vorne'			'去背面'	'반동 화염'	rathalos-ex.js line#49
'Fire Breath on YOU'	'Feueratem auf DIR'			'火点名'	'화염 숨결 대상자'	rathalos-ex.js line#61
'stack with your group'	'mit der Gruppe stacken'	'Packé avec votre groupe'	'グループ別にスタック'	'双组分摊'		seiryu-ex.js line#15
'line stack'	'Linien-Stack'	'Packé en ligne'	'スタック'	'直线分摊'		seiryu-ex.js line#28
'Grab Tether, Point Away'	'Verbindung nehmen und wegdrehen'	'Prenez le lien, pointez vers l\'extérieur'	'線取って外向ける'	'接线引导'		seiryu-ex.js line#43
'Away From Tanks'	'Weg von den Tanks'	'Ecartez-vous des tanks'	'タンクから離れて'	'远离坦克'		seiryu-ex.js line#108
'Stack for Puddle AOEs'	'Stacken (Pfützen)'	'Packez-vous pour l\'aoe'	'スタック'	'集合放置AOE'		seiryu-ex.js line#137
'Pop Sprint'	'Sprinten'	'Sprintez'	'スプリント'	'冲冲冲'		seiryu-ex.js line#360
'Ice: Stack and Stop'	'Eis: Stack und Stehenbleiben'			'冰地面：站一起和停止移动'		shinryu-ex.js line#115
'Out of middle'	'Raus aus der Mitte'			'离开中间'		shinryu-ex.js line#132
'Get in water'	'In\'s Wasser'			'进水圈'		shinryu-ex.js line#146
'out of water'	'Raus aus dem Wasser'			'离开水圈'		shinryu-ex.js line#200
'icicle, lean west'	'Eiszapfen, nach westen'			'冰柱，去左边'		shinryu-ex.js line#273
'icicle, lean east'	'Eiszapfen, nach Osten'			'冰柱，去右边'		shinryu-ex.js line#286
'Knockback, look for water'	'Rückstoß, nach Wasser schauen'			'找水圈'		shinryu-ex.js line#301
'no more heals needed'	'keine Heilung mehr nötig'			'不需要更多奶了'		shinryu-ex.js line#321
'Tail: Switch targets'	'Schweif: Zielwechsel'			'打尾巴'		shinryu-ex.js line#339
'Heart: Switch targets'	'Herz: Ziel wechseln'			'打核心'		shinryu-ex.js line#361
'avoid divebomb'	'Divebomb ausweichen'			'前方顺劈'		shinryu-ex.js line#379
'front cleave'	'Frontalcleave'			'离开正面'		shinryu-ex.js line#454
'kill left first'	'linken Flügel zuerst'			'击杀左翼'		shinryu-ex.js line#474
'kill right first'	'rechten Flügel zuerst'			'击杀右翼'		shinryu-ex.js line#497
'tail marker on you'	'Schweifmarker auf dir'			'龙尾点名'		shinryu-ex.js line#547
'look for cloud'	'Nach Wolke ausschau halten'			'寻找雷云'		susano-ex.js line#15
'Stop'	'Stopp'			'停止动作'		susano-ex.js line#228
'Tank Buster'	'Tankbuster'	'Tankbuster'		'死刑'		suzaku-ex.js line#49
'Get Out'	'Raus da'	'Allez au bord extérieur'	'誘引'	'远离'		suzaku-ex.js line#64
'Get In'	'Rein da'	'Allez au bord intérieur'	'拒絶'	'靠近'		suzaku-ex.js line#80
'Move to Black!'	'In\'s schwarze laufen!'	'Bougez en zone noire !'		'踩黑色！'		tsukuyomi-ex.js line#242
'Move to White!'	'In\'s weiße laufen!'	'Bougez en zone blanche !'		'踩白色！'		tsukuyomi-ex.js line#283
'Run Marker Away'	'Mit Marker weglaufen'			'远离点名'		yojimbo.js line#16
'Gekko Marker'	'Gekko Marker'			'月光点名'		yojimbo.js line#35
'Move!'	'Bewegen'	'Bougez'	'フェザーレイン'	'躲羽毛'	'이동'	ultima_weapon_ultimate.js line#16
'Slipstream'	'Wirbelströmung'	'Sillage'	'スリップストリーム'	'螺旋气流'	'반동 기류'	ultima_weapon_ultimate.js line#65
'Mistral on YOU'	'Mistral-Song'	'Chant Du Mistral'	'ミストラルソング'	'寒风之歌点名'	'삭풍 징'	ultima_weapon_ultimate.js line#80
'Mistral Song'	'Mistral-Song'	'Chant Du Mistral'	'ミストラルソング'	'寒风之歌'	'삭풍 징'	ultima_weapon_ultimate.js line#96
'Spiny Plume Add'	'Dorniger Federsturm'	'Plume Perforante'	'スパイニープルーム'	'刺羽出现'	'가시돋힌 깃털 등장'	ultima_weapon_ultimate.js line#116
'Fetters on YOU'	'Fesseln auf DIR'	'Chaînes Infernales'	'自分に炎獄の鎖'	'火狱之锁点名'	'사슬 → 나'	ultima_weapon_ultimate.js line#137
'Searing Wind on YOU'	'Versengen auf DIR'	'Rugissement Infernal'	'自分に灼熱'	'灼热咆哮点名'	'작열 → 나'	ultima_weapon_ultimate.js line#165
'Stack'	'Stack'	'Stack'	'頭割り'	'集合'	'집합'	ultima_weapon_ultimate.js line#185
'Gaol on YOU'	'Granitgefängnis'	'Geôle'	'ジェイル'	'石牢点名'	'감옥 → 나'	ultima_weapon_ultimate.js line#302
'Garuda'	'Garuda'	'Garuda'	'ガルーダ'	'迦楼罗'	'가루다'	ultima_weapon_ultimate.js line#322
'Ifrit'	'Ifrit'	'Ifrit'	'イフリート'	'伊弗利特'	'이프리트'	ultima_weapon_ultimate.js line#342
'Titan'	'Titan'	'Titan'	'タイタン'	'泰坦'	'타이탄'	ultima_weapon_ultimate.js line#362
'Twisters'	'Wirbelstürme'	'Tornades'	'大竜巻'	'大龙卷'	'회오리'	unending_coil_ultimate.js line#183
'Hatch on YOU'	'Ausbrüten auf DIR'	'Éclosion sur VOUS'	'自分に魔力爆散'	'点名魔力爆散'	'나에게 마력연성'	unending_coil_ultimate.js line#239
'Phase 2 Push'	'Phase 2 Stoß'	'Phase 2 poussée'	'フェーズ2'	'P2准备'	'트윈 페이즈2'	unending_coil_ultimate.js line#294
'Phase 3 Push'	'Phase 3 Stoß'	'Phase 3 poussée'	'フェーズ3'	'P3准备'	'트윈 페이즈3'	unending_coil_ultimate.js line#312
'Spread => In'	'Verteilen => Rein'	'Se dispercer => Dedans'	'散開 => 密着'	'分散 => 靠近'	'산개 => 안으로'	unending_coil_ultimate.js line#333
'Spread => Out'	'Verteilen => Raus'	'Se dispercer => Dehors'	'散開 => 離れる'	'分散 => 远离'	'산개 => 밖으로'	unending_coil_ultimate.js line#352
'Stack => In'	'Stack => Rein'	'Se rassembler => Dedans'	'頭割り => 密着'	'集合 => 靠近'	'쉐어 => 안으로'	unending_coil_ultimate.js line#371
