en	de	fr	ja	cn	ko	lineno
'Stun Mechanoscribe'	'betäube Mechanoscholar'	'Etourdissez le Mécano-scribe'				gubal_library_hard.js 秘本宝库迦巴勒幻想图书馆 line#148
'Stand in light circle'	'Im hellen Kreis stehen'	'Restez dans le cercle blanc'				gubal_library_hard.js 秘本宝库迦巴勒幻想图书馆 line#164
'Stand in dark circle'	'Im dunklen Kreis stehen'	'Restez dans le cercle noir'				gubal_library_hard.js 秘本宝库迦巴勒幻想图书馆 line#178
'Cleanse in green circle'	'Im grünen Kreis reinigen'	'Nettoyez dans le cercle vert'				gubal_library_hard.js 秘本宝库迦巴勒幻想图书馆 line#192
'Hide behind boulder'	'Hinter dem Brocken verstecken'	'Derrière le rocher'				gubal_library_hard.js 秘本宝库迦巴勒幻想图书馆 line#230
﻿'Kill Chyme Add'	'Brei Add töten'	'Tuez l\'add'				sohm_al.js 天山绝顶索姆阿尔灵峰 line#29
﻿'Avoid dashes'	'Sprint ausweichen'	'Evitez les dash'				the_vault.js 圣教中枢伊修加德教皇厅 line#22
'Heal + shield ' + data.ShortName(matches.target)	'Heilung + Schild ' + data.ShortName(matches.target)	'Heal + boucliers ' + data.ShortName(matches.target)				the_vault.js 圣教中枢伊修加德教皇厅 line#68
'Away from rifts'	'Weg von de Ätherspalten'	'Eloignez-vous des déchirures'				the_vault.js 圣教中枢伊修加德教皇厅 line#116
'Evade marching knights'	'Marschierenden Rittern ausweichen'	'Esquivez les chevaliers'				the_vault.js 圣教中枢伊修加德教皇厅 line#166
﻿'Liftoff Soon'						a1s.js 亚历山大零式机神城 \(启动之章1\) line#14
'Hydrothermal on You'						a1s.js 亚历山大零式机神城 \(启动之章1\) line#39
'Hydrothermal on ' + data.hydro.map((x) => data.ShortName(x)).join(', ')						a1s.js 亚历山大零式机神城 \(启动之章1\) line#51
'Bait Resin Bomb'						a1s.js 亚历山大零式机神城 \(启动之章1\) line#68
'Tank Busters'	'Tank buster'	'Tank busters'	'タンクバスター'	'坦克死刑'	'탱버'	a1s.js 亚历山大零式机神城 \(启动之章1\) line#98
﻿'Get Mines'	'Mienen nehmen'	'Prenez les mines'				a6s.js 亚历山大零式机神城 \(律动之章2\) line#63
'Avoid Mines'	'Mienen vermeiden'	'Evitez les mines'				a6s.js 亚历山大零式机神城 \(律动之章2\) line#69
'Dodge Mirage Charge'	'Superladung ausweichen'	'Esquivez la charge de la réplique'				a6s.js 亚历山大零式机神城 \(律动之章2\) line#85
'Look Away from Mirage'	'Von Replikant wegschauen'	'Ne regardez pas la réplique'				a6s.js 亚历山大零式机神城 \(律动之章2\) line#102
'Look Towards Mirage'	'Von Replikant hinschauen'	'Regardez la réplique'				a6s.js 亚历山大零式机神城 \(律动之章2\) line#119
'Double Buster: Group Soak'	'Doppel Buster: Gruppe sammeln'	'Double buster: Packez-vous'				a6s.js 亚历山大零式机神城 \(律动之章2\) line#146
'Get Away from Boss'	'Gehe weit weg vom Boss'	'Eloignez-vous du boss'				a6s.js 亚历山大零式机神城 \(律动之章2\) line#163
'Double Drill: Be Near/Far'	'Doppel Bohrer: Sei weit weg/nah dran'	'Double foreuse : Soyez Loin/Près'				a6s.js 亚历山大零式机神城 \(律动之章2\) line#180
'Go High'	'Geh Hoch'	'Allez en haut'				a6s.js 亚历山大零式机神城 \(律动之章2\) line#197
'Go Low'	'Geh Runter'	'Allez en bas'				a6s.js 亚历山大零式机神城 \(律动之章2\) line#214
'Hide Behind Tornado'	'Hinter Tornado verstecken'	'Cachez vous derrière la tornade'				a6s.js 亚历山大零式机神城 \(律动之章2\) line#248
'Ice Missile on YOU'	'Eis Rakete auf DIR'	'Missile de glace sur VOUS'				a6s.js 亚历山大零式机神城 \(律动之章2\) line#260
'Water on YOU'	'Wasser auf DIR'	'Eau sur VOUS'	'自分に水'			a6s.js 亚历山大零式机神城 \(律动之章2\) line#277
'Drop Water Soon'	'Gleich Wasser ablegen'	'Posez l\'eau bientôt'	'水来るよ'			a6s.js 亚历山大零式机神城 \(律动之章2\) line#299
'Lightning on YOU'	'Blitz auf DIR'	'Eclair sur VOUS'	'自分に雷'			a6s.js 亚历山大零式机神城 \(律动之章2\) line#317
'Drop Lightning Soon'	'Gleich Blitz ablegen'	'Déposez l\'éclair bientôt'	'雷来るよ'			a6s.js 亚历山大零式机神城 \(律动之章2\) line#339
